week,kdrama_squidgame1
2020-12-27,75
2021-01-03,81
2021-01-10,85
2021-01-17,75
2021-01-24,78
2021-01-31,83
2021-02-07,76
2021-02-14,75
2021-02-21,77
2021-02-28,74
2021-03-07,64
2021-03-14,79
2021-03-21,66
2021-03-28,75
2021-04-04,65
2021-04-11,68
2021-04-18,75
2021-04-25,82
2021-05-02,68
2021-05-09,74
2021-05-16,76
2021-05-23,95
2021-05-30,100
2021-06-06,77
2021-06-13,79
2021-06-20,85
2021-06-27,75
2021-07-04,77
2021-07-11,75
2021-07-18,79
2021-07-25,79
2021-08-01,73
2021-08-08,77
2021-08-15,78
2021-08-22,62
2021-08-29,70
2021-09-05,69
2021-09-12,76
2021-09-19,82
2021-09-26,98
2021-10-03,96
2021-10-10,83
2021-10-17,98
2021-10-24,87
2021-10-31,80
2021-11-07,72
2021-11-14,77
2021-11-21,75
2021-11-28,73
2021-12-05,78
2021-12-12,81
2021-12-19,92
2021-12-26,88
